Quarter of Date,Variant,Cases
2020 Q4,Kappa,0
2020 Q4,Lambda,0
2020 Q4,Mu,0
2020 Q4,Omicron,0
2020 Q4,S:677H.Robin1,0
2020 Q4,S:677P.Pelican,0
2020 Q4,others,84
2020 Q4,non_who,163
2020 Q4,Alpha,0
2020 Q4,B.1.1.277,3
2020 Q4,B.1.1.302,0
2020 Q4,B.1.1.519,0
2020 Q4,B.1.160,3
2020 Q4,B.1.177,28
2020 Q4,B.1.221,2
2020 Q4,B.1.258,27
2020 Q4,B.1.367,0
2020 Q4,B.1.620,0
2020 Q4,Beta,0
2020 Q4,Delta,0
2020 Q4,Epsilon,0
2020 Q4,Eta,0
2020 Q4,Gamma,0
2020 Q4,Iota,0
2020 Q4,Kappa,0
2020 Q4,Lambda,0
2020 Q4,Mu,0
2020 Q4,Omicron,0
2020 Q4,S:677H.Robin1,0
2020 Q4,S:677P.Pelican,0
2020 Q4,others,124
2020 Q4,non_who,187
2020 Q4,Alpha,16
2020 Q4,B.1.1.277,6
2020 Q4,B.1.1.302,1
2020 Q4,B.1.1.519,0
2020 Q4,B.1.160,1
2020 Q4,B.1.177,29
2020 Q4,B.1.221,2
2020 Q4,B.1.258,9
2020 Q4,B.1.367,0
2020 Q4,B.1.620,0
2020 Q4,Beta,0
2020 Q4,Delta,0
2020 Q4,Epsilon,1
2020 Q4,Eta,0
2020 Q4,Gamma,0
2020 Q4,Iota,0
2020 Q4,Kappa,0
2020 Q4,Lambda,0
2020 Q4,Mu,0
2020 Q4,Omicron,0
2020 Q4,S:677H.Robin1,0
2020 Q4,S:677P.Pelican,0
2020 Q4,others,209
2020 Q4,non_who,257
2021 Q1,Alpha,31
2021 Q1,B.1.1.277,8
2021 Q1,B.1.1.302,0
2021 Q1,B.1.1.519,0
2021 Q1,B.1.160,5
2021 Q1,B.1.177,51
2021 Q1,B.1.221,3
2021 Q1,B.1.258,3
2021 Q1,B.1.367,0
2021 Q1,B.1.620,0
2021 Q1,Beta,1
2021 Q1,Delta,0
2021 Q1,Epsilon,0
2021 Q1,Eta,0
2021 Q1,Gamma,0
2021 Q1,Iota,0
2021 Q1,Kappa,0
2021 Q1,Lambda,0
2021 Q1,Mu,0
2021 Q1,Omicron,0
2021 Q1,S:677H.Robin1,0
2021 Q1,S:677P.Pelican,0
2021 Q1,others,170
2021 Q1,non_who,240
2021 Q1,Alpha,30
2021 Q1,B.1.1.277,2
2021 Q1,B.1.1.302,0
2021 Q1,B.1.1.519,0
2021 Q1,B.1.160,8
2021 Q1,B.1.177,90
2021 Q1,B.1.221,10
2021 Q1,B.1.258,9
2021 Q1,B.1.367,0
2021 Q1,B.1.620,0
2021 Q1,Beta,1
2021 Q1,Delta,0
2021 Q1,Epsilon,0
2021 Q1,Eta,0
2021 Q1,Gamma,0
2021 Q1,Iota,0
2021 Q1,Kappa,0
2021 Q1,Lambda,0
2021 Q1,Mu,0
2021 Q1,Omicron,0
2021 Q1,S:677H.Robin1,0
2021 Q1,S:677P.Pelican,0
2021 Q1,others,116
2021 Q1,non_who,235
2021 Q1,Alpha,95
2021 Q1,B.1.1.277,1
2021 Q1,B.1.1.302,0
2021 Q1,B.1.1.519,0
2021 Q1,B.1.160,32
2021 Q1,B.1.177,120
2021 Q1,B.1.221,27
2021 Q1,B.1.258,69
2021 Q1,B.1.367,0
2021 Q1,B.1.620,0
2021 Q1,Beta,2
2021 Q1,Delta,0
2021 Q1,Epsilon,0
2021 Q1,Eta,2
2021 Q1,Gamma,0
2021 Q1,Iota,0
2021 Q1,Kappa,0
2021 Q1,Lambda,0
2021 Q1,Mu,0
2021 Q1,Omicron,0
2021 Q1,S:677H.Robin1,0
2021 Q1,S:677P.Pelican,0
2021 Q1,others,392
2021 Q1,non_who,641
2021 Q1,Alpha,366
2021 Q1,B.1.1.277,13
2021 Q1,B.1.1.302,0
2021 Q1,B.1.1.519,0
2021 Q1,B.1.160,23
2021 Q1,B.1.177,150
2021 Q1,B.1.221,55
2021 Q1,B.1.258,70
2021 Q1,B.1.367,0
2021 Q1,B.1.620,0
2021 Q1,Beta,15
2021 Q1,Delta,0
2021 Q1,Epsilon,1
2021 Q1,Eta,12
2021 Q1,Gamma,0
2021 Q1,Iota,0
2021 Q1,Kappa,0
2021 Q1,Lambda,0
2021 Q1,Mu,0
2021 Q1,Omicron,0
2021 Q1,S:677H.Robin1,0
2021 Q1,S:677P.Pelican,0
2021 Q1,others,695
2021 Q1,non_who,1006
2021 Q1,Alpha,683
2021 Q1,B.1.1.277,6
2021 Q1,B.1.1.302,0
2021 Q1,B.1.1.519,0
2021 Q1,B.1.160,15
2021 Q1,B.1.177,122
2021 Q1,B.1.221,37
2021 Q1,B.1.258,1
