Date,Location,Variant,Num Sequences,Num Sequences Total,Perc Sequences
11/23/2020,Norway,Kappa,0,163,0
11/23/2020,Norway,Lambda,0,163,0
11/23/2020,Norway,Mu,0,163,0
11/23/2020,Norway,Omicron,0,163,0
11/23/2020,Norway,S:677H.Robin1,0,163,0
11/23/2020,Norway,S:677P.Pelican,0,163,0
11/23/2020,Norway,others,84,163,51.54
11/23/2020,Norway,non_who,163,163,100
12/7/2020,Norway,Alpha,0,187,0
12/7/2020,Norway,B.1.1.277,3,187,1.6
12/7/2020,Norway,B.1.1.302,0,187,0
12/7/2020,Norway,B.1.1.519,0,187,0
12/7/2020,Norway,B.1.160,3,187,1.6
12/7/2020,Norway,B.1.177,28,187,14.97
12/7/2020,Norway,B.1.221,2,187,1.07
12/7/2020,Norway,B.1.258,27,187,14.44
12/7/2020,Norway,B.1.367,0,187,0
12/7/2020,Norway,B.1.620,0,187,0
12/7/2020,Norway,Beta,0,187,0
12/7/2020,Norway,Delta,0,187,0
12/7/2020,Norway,Epsilon,0,187,0
12/7/2020,Norway,Eta,0,187,0
12/7/2020,Norway,Gamma,0,187,0
12/7/2020,Norway,Iota,0,187,0
12/7/2020,Norway,Kappa,0,187,0
12/7/2020,Norway,Lambda,0,187,0
12/7/2020,Norway,Mu,0,187,0
12/7/2020,Norway,Omicron,0,187,0
12/7/2020,Norway,S:677H.Robin1,0,187,0
12/7/2020,Norway,S:677P.Pelican,0,187,0
12/7/2020,Norway,others,124,187,66.32
12/7/2020,Norway,non_who,187,187,100
12/21/2020,Norway,Alpha,16,274,5.84
12/21/2020,Norway,B.1.1.277,6,274,2.19
12/21/2020,Norway,B.1.1.302,1,274,0.36
12/21/2020,Norway,B.1.1.519,0,274,0
12/21/2020,Norway,B.1.160,1,274,0.36
12/21/2020,Norway,B.1.177,29,274,10.58
12/21/2020,Norway,B.1.221,2,274,0.73
12/21/2020,Norway,B.1.258,9,274,3.28
12/21/2020,Norway,B.1.367,0,274,0
12/21/2020,Norway,B.1.620,0,274,0
12/21/2020,Norway,Beta,0,274,0
12/21/2020,Norway,Delta,0,274,0
12/21/2020,Norway,Epsilon,1,274,0.36
12/21/2020,Norway,Eta,0,274,0
12/21/2020,Norway,Gamma,0,274,0
12/21/2020,Norway,Iota,0,274,0
12/21/2020,Norway,Kappa,0,274,0
12/21/2020,Norway,Lambda,0,274,0
12/21/2020,Norway,Mu,0,274,0
12/21/2020,Norway,Omicron,0,274,0
12/21/2020,Norway,S:677H.Robin1,0,274,0
12/21/2020,Norway,S:677P.Pelican,0,274,0
12/21/2020,Norway,others,209,274,76.3
12/21/2020,Norway,non_who,257,274,93.8
1/4/2021,Norway,Alpha,31,272,11.4
1/4/2021,Norway,B.1.1.277,8,272,2.94
1/4/2021,Norway,B.1.1.302,0,272,0
1/4/2021,Norway,B.1.1.519,0,272,0
1/4/2021,Norway,B.1.160,5,272,1.84
1/4/2021,Norway,B.1.177,51,272,18.75
1/4/2021,Norway,B.1.221,3,272,1.1
1/4/2021,Norway,B.1.258,3,272,1.1
1/4/2021,Norway,B.1.367,0,272,0
1/4/2021,Norway,B.1.620,0,272,0
1/4/2021,Norway,Beta,1,272,0.37
1/4/2021,Norway,Delta,0,272,0
1/4/2021,Norway,Epsilon,0,272,0
1/4/2021,Norway,Eta,0,272,0
1/4/2021,Norway,Gamma,0,272,0
1/4/2021,Norway,Iota,0,272,0
1/4/2021,Norway,Kappa,0,272,0
1/4/2021,Norway,Lambda,0,272,0
1/4/2021,Norway,Mu,0,272,0
1/4/2021,Norway,Omicron,0,272,0
1/4/2021,Norway,S:677H.Robin1,0,272,0
1/4/2021,Norway,S:677P.Pelican,0,272,0
1/4/2021,Norway,others,170,272,62.5
1/4/2021,Norway,non_who,240,272,88.23
1/11/2021,Norway,Alpha,30,266,11.28
1/11/2021,Norway,B.1.1.277,2,266,0.75
1/11/2021,Norway,B.1.1.302,0,266,0
1/11/2021,Norway,B.1.1.519,0,266,0
1/11/2021,Norway,B.1.160,8,266,3.01
1/11/2021,Norway,B.1.177,90,266,33.83
1/11/2021,Norway,B.1.221,10,266,3.76
1/11/2021,Norway,B.1.258,9,266,3.38
1/11/2021,Norway,B.1.367,0,266,0
1/11/2021,Norway,B.1.620,0,266,0
1/11/2021,Norway,Beta,1,266,0.38
1/11/2021,Norway,Delta,0,266,0
1/11/2021,Norway,Epsilon,0,266,0
1/11/2021,Norway,Eta,0,266,0
1/11/2021,Norway,Gamma,0,266,0
1/11/2021,Norway,Iota,0,266,0
1/11/2021,Norway,Kappa,0,266,0
1/11/2021,Norway,Lambda,0,266,0
1/11/2021,Norway,Mu,0,266,0
1/11/2021,Norway,Omicron,0,266,0
1/11/2021,Norway,S:677H.Robin1,0,266,0
1/11/2021,Norway,S:677P.Pelican,0,266,0
1/11/2021,Norway,others,116,266,43.61
1/11/2021,Norway,non_who,235,266,88.34
1/25/2021,Norway,Alpha,95,740,12.84
1/25/2021,Norway,B.1.1.277,1,740,0.14
1/25/2021,Norway,B.1.1.302,0,740,0
1/25/2021,Norway,B.1.1.519,0,740,0
1/25/2021,Norway,B.1.160,32,740,4.32
1/25/2021,Norway,B.1.177,120,740,16.22
1/25/2021,Norway,B.1.221,27,740,3.65
1/25/2021,Norway,B.1.258,69,740,9.32
1/25/2021,Norway,B.1.367,0,740,0
1/25/2021,Norway,B.1.620,0,740,0
1/25/2021,Norway,Beta,2,740,0.27
1/25/2021,Norway,Delta,0,740,0
1/25/2021,Norway,Epsilon,0,740,0
1/25/2021,Norway,Eta,2,740,0.27
1/25/2021,Norway,Gamma,0,740,0
1/25/2021,Norway,Iota,0,740,0
1/25/2021,Norway,Kappa,0,740,0
1/25/2021,Norway,Lambda,0,740,0
1/25/2021,Norway,Mu,0,740,0
1/25/2021,Norway,Omicron,0,740,0
1/25/2021,Norway,S:677H.Robin1,0,740,0
1/25/2021,Norway,S:677P.Pelican,0,740,0
1/25/2021,Norway,others,392,740,52.97
1/25/2021,Norway,non_who,641,740,86.62
2/8/2021,Norway,Alpha,366,1400,26.14
2/8/2021,Norway,B.1.1.277,13,1400,0.93
2/8/2021,Norway,B.1.1.302,0,1400,0
2/8/2021,Norway,B.1.1.519,0,1400,0
2/8/2021,Norway,B.1.160,23,1400,1.64
2/8/2021,Norway,B.1.177,150,1400,10.71
2/8/2021,Norway,B.1.221,55,1400,3.93
2/8/2021,Norway,B.1.258,70,1400,5
2/8/2021,Norway,B.1.367,0,1400,0
2/8/2021,Norway,B.1.620,0,1400,0
2/8/2021,Norway,Beta,15,1400,1.07
2/8/2021,Norway,Delta,0,1400,0
2/8/2021,Norway,Epsilon,1,1400,0.07
2/8/2021,Norway,Eta,12,1400,0.86
2/8/2021,Norway,Gamma,0,1400,0
2/8/2021,Norway,Iota,0,1400,0
2/8/2021,Norway,Kappa,0,1400,0
2/8/2021,Norway,Lambda,0,1400,0
2/8/2021,Norway,Mu,0,1400,0
2/8/2021,Norway,Omicron,0,1400,0
2/8/2021,Norway,S:677H.Robin1,0,1400,0
2/8/2021,Norway,S:677P.Pelican,0,1400,0
2/8/2021,Norway,others,695,1400,49.65
2/8/2021,Norway,non_who,1006,1400,71.86
2/22/2021,Norway,Alpha,683,1404,48.65
2/22/2021,Norway,B.1.1.277,6,1404,0.43
2/22/2021,Norway,B.1.1.302,0,1404,0
2/22/2021,Norway,B.1.1.519,0,1404,0
2/22/2021,Norway,B.1.160,15,1404,1.07
2/22/2021,Norway,B.1.177,122,1404,8.69
2/22/2021,Norway,B.1.221,37,1404,2.64
2/22/2021,Norway,B.1.258,1,1404,0.07
2/22/2021,Norway,B.1.367,0,1404,0
